Flight_Number,Departure,Arrival,Departure_Time,Arrival_Time,Airline_Name,Plane_Type,Status
3424,MUX,UET,2020-12-03 12:17:10,2020-12-04 06:00:45,Serene Airways,Air-Bus,On-time
3426,ISB,GRT,2021-01-26 04:45:35,2021-01-26 18:16:04,Turkish Airlines,Air-Bus,On-time
3431,LHE,LHE,2021-01-28 04:29:02,2021-01-28 17:51:49,Pia,Air-Bus,On-time
3433,BHV,GWD,2020-12-09 10:59:58,2020-12-09 20:50:01,Air Blue,Air-Bus,On-time
3436,GWD,ISB,2021-01-30 18:40:48,2021-01-30 20:46:06,Thai Airways,Air-Bus,On-time
3439,BHV,UET,2021-01-11 15:12:02,2021-01-11 23:17:19,Emirates,Air-Bus,On-time
3440,GIL,GRT,2020-12-18 06:59:40,2020-12-19 04:03:58,EVA Air,Air-Bus,On-time
3444,UET,GWD,2020-12-25 14:30:14,2020-12-25 21:07:14,Air China,Air-Bus,On-time
3447,BHV,GIL,2020-12-14 05:06:02,2020-12-15 03:18:00,Fly Dubai,Air-Bus,On-time
3449,PEW,GRT,2020-12-23 06:52:28,2020-12-23 20:43:46,United Airlines,Air-Bus,On-time
345,ISB,MUX,2021-01-25 15:01:49,2021-01-26 02:29:44,United Airlines,Air-Bus,On-time
3451,KHI,GWD,2021-01-13 23:32:23,2021-01-14 12:40:32,Emirates,Air-Bus,On-time
3452,ISB,GWD,2021-01-21 09:42:06,2021-01-22 03:41:33,Air France,Air-Bus,On-time
3454,MUX,ISB,2021-01-07 13:24:09,2021-01-08 01:38:39,EVA Air,Air-Bus,On-time
3455,GIL,PEW,2020-12-31 22:15:07,2021-01-01 06:19:07,Turkish Airlines,Air-Bus,On-time
3459,KHI,GWD,2020-12-10 14:24:25,2020-12-11 04:22:59,American Airlines,Air-Bus,On-time
3460,LHE,BHV,2020-12-03 00:48:20,2020-12-03 14:01:16,EVA Air,Air-Bus,On-time
3461,UET,GWD,2020-12-07 13:25:56,2020-12-08 04:31:35,Pia,Air-Bus,On-time
3463,PEW,GRT,2021-01-09 06:58:54,2021-01-09 22:38:36,Air Blue,Air-Bus,On-time
3466,GRT,MUX,2020-12-03 22:32:19,2020-12-04 09:54:55,Air China,Air-Bus,On-time
3469,GIL,BHV,2021-01-02 00:59:57,2021-01-02 20:20:59,United Airlines,Air-Bus,On-time
347,BHV,GWD,2020-12-04 12:39:10,2020-12-04 19:03:14,Qatar Airways,Air-Bus,On-time
3470,UET,ISB,2021-01-28 19:31:47,2021-01-29 14:25:55,Qatar Airways,Air-Bus,On-time
3473,PEW,KHI,2021-01-10 19:02:41,2021-01-11 04:56:09,American Airlines,Air-Bus,On-time
3475,PEW,LHE,2020-12-18 06:08:00,2020-12-18 13:04:25,Serene Airways,Air-Bus,On-time
3477,UET,LHE,2021-01-01 18:59:28,2021-01-02 14:37:21,Pia,Air-Bus,On-time
3478,PEW,GIL,2021-01-16 01:25:56,2021-01-16 20:27:23,Singapore Airlines,Air-Bus,On-time
3480,UET,KHI,2021-01-20 01:21:16,2021-01-20 16:25:32,Air France,Air-Bus,On-time
3481,BHV,GRT,2020-12-29 11:14:07,2020-12-29 21:31:36,Gulf Air,Air-Bus,On-time
3482,UET,BHV,2020-12-02 15:42:18,2020-12-03 02:07:11,Turkish Airlines,Air-Bus,On-time
3484,LHE,BHV,2021-01-17 03:36:59,2021-01-17 19:24:19,United Airlines,Air-Bus,On-time
3486,LHE,GIL,2020-12-18 16:18:06,2020-12-19 13:24:23,Singapore Airlines,Air-Bus,On-time
3488,GIL,BHV,2021-01-29 21:47:15,2021-01-30 00:21:58,IndiGo,Air-Bus,On-time
3490,GIL,BHV,2020-12-24 17:18:31,2020-12-25 00:11:31,Air Canada,Air-Bus,On-time
3498,MUX,MUX,2021-01-11 13:22:57,2021-01-11 18:59:01,Emirates,Air-Bus,On-time
35,MUX,MUX,2021-01-09 22:23:57,2021-01-10 16:50:21,Air China,Air-Bus,On-time
350,PEW,PEW,2020-12-20 00:37:26,2020-12-20 04:56:29,Air China,Air-Bus,On-time
3503,MUX,KHI,2021-01-25 20:57:05,2021-01-26 12:34:47,Air Canada,Air-Bus,On-time
3504,GWD,GWD,2020-12-03 06:06:04,2020-12-03 23:01:44,American Airlines,Air-Bus,On-time
3505,UET,GIL,2021-01-02 19:37:18,2021-01-02 23:00:13,Air China,Air-Bus,On-time
3506,KHI,BHV,2021-01-03 02:28:25,2021-01-03 20:11:11,EVA Air,Air-Bus,On-time
3507,LHE,MUX,2021-01-19 22:33:31,2021-01-20 06:55:15,Serene Airways,Air-Bus,On-time
3509,GIL,GIL,2021-01-20 16:40:49,2021-01-21 11:51:05,Emirates,Air-Bus,On-time
351,PEW,UET,2021-01-16 17:58:17,2021-01-16 21:18:18,Fly Dubai,Air-Bus,On-time
3511,KHI,GWD,2020-12-30 04:07:21,2020-12-30 19:42:19,Air China,Air-Bus,On-time
3513,KHI,GWD,2020-12-30 00:18:29,2020-12-30 14:13:59,Pia,Air-Bus,On-time
3517,LHE,GIL,2020-12-10 17:00:17,2020-12-11 07:17:51,IndiGo,Air-Bus,On-time
3518,KHI,KHI,2021-01-25 22:06:07,2021-01-26 00:41:51,Air Canada,Air-Bus,On-time
3519,GRT,GIL,2021-01-23 05:22:32,2021-01-23 20:01:15,Fly Dubai,Air-Bus,On-time
352,MUX,PEW,2020-12-12 00:45:49,2020-12-12 08:03:36,Air Canada,Air-Bus,On-time
3522,PEW,MUX,2021-01-11 00:20:09,2021-01-11 13:55:01,Virgin Austrailia,Air-Bus,On-time
3523,BHV,ISB,2020-12-26 17:35:42,2020-12-27 15:17:57,Thai Airways,Air-Bus,On-time
3524,BHV,GWD,2020-12-31 20:49:55,2021-01-01 19:13:05,Qatar Airways,Air-Bus,On-time
3525,GIL,LHE,2021-01-22 19:57:15,2021-01-23 00:43:15,Etihad Airways,Air-Bus,On-time
3527,ISB,UET,2020-12-08 16:38:31,2020-12-09 08:31:07,Thai Airways,Air-Bus,On-time
3528,MUX,LHE,2021-01-10 22:44:03,2021-01-11 09:22:11,Fly Dubai,Air-Bus,On-time
3529,LHE,GWD,2021-01-20 00:17:08,2021-01-20 09:42:06,Gulf Air,Air-Bus,On-time
353,BHV,ISB,2020-12-25 19:20:08,2020-12-26 01:23:13,United Airlines,Air-Bus,On-time
3530,ISB,MUX,2020-12-23 16:57:40,2020-12-23 19:19:16,Fly Dubai,Air-Bus,On-time
3534,PEW,UET,2020-12-06 09:04:02,2020-12-07 00:48:32,United Airlines,Air-Bus,On-time
3537,ISB,PEW,2021-01-20 15:03:24,2021-01-20 23:49:20,Emirates,Air-Bus,On-time
3539,UET,UET,2020-11-30 16:21:47,2020-12-01 09:49:47,Serene Airways,Air-Bus,On-time
3543,MUX,GWD,2020-12-06 19:31:33,2020-12-06 23:12:11,Singapore Airlines,Air-Bus,On-time
3544,BHV,MUX,2020-12-23 17:48:05,2020-12-24 07:43:04,Fly Dubai,Air-Bus,On-time
3546,GWD,UET,2020-12-13 16:14:11,2020-12-13 18:58:55,Etihad Airways,Air-Bus,On-time
3547,PEW,GIL,2020-12-22 18:55:42,2020-12-23 07:26:35,EVA Air,Air-Bus,On-time
3550,GRT,ISB,2021-01-29 07:32:52,2021-01-29 19:20:43,Emirates,Air-Bus,On-time
3552,ISB,KHI,2021-01-16 03:27:53,2021-01-16 22:49:24,British Airways,Air-Bus,On-time
3555,UET,ISB,2020-11-30 04:43:04,2020-12-01 02:55:59,IndiGo,Air-Bus,On-time
3559,PEW,LHE,2021-01-24 12:41:03,2021-01-24 21:37:09,Etihad Airways,Air-Bus,On-time
3561,GRT,BHV,2021-01-21 22:01:39,2021-01-22 08:24:03,Qatar Airways,Air-Bus,On-time
3563,GWD,PEW,2021-01-02 00:43:59,2021-01-03 00:13:04,Singapore Airlines,Air-Bus,On-time
3567,MUX,GIL,2021-01-07 01:28:24,2021-01-07 10:26:44,Serene Airways,Air-Bus,On-time
357,GIL,GIL,2021-01-26 16:15:29,2021-01-27 05:49:18,Singapore Airlines,Air-Bus,On-time
3572,PEW,GRT,2021-01-07 09:16:01,2021-01-08 08:17:17,Air France,Air-Bus,On-time
3575,BHV,UET,2020-12-25 02:32:13,2020-12-25 20:30:28,Qatar Airways,Air-Bus,On-time
3576,GWD,LHE,2020-12-24 22:59:12,2020-12-25 09:57:23,Singapore Airlines,Air-Bus,On-time
3579,PEW,KHI,2021-01-29 07:18:18,2021-01-30 03:19:14,Air France,Air-Bus,On-time
3583,BHV,KHI,2020-12-27 09:34:42,2020-12-28 08:46:25,American Airlines,Air-Bus,On-time
3584,PEW,UET,2021-01-15 17:25:46,2021-01-15 20:34:58,Singapore Airlines,Air-Bus,On-time
3588,LHE,KHI,2020-12-19 09:23:33,2020-12-19 14:44:26,Fly Dubai,Air-Bus,On-time
3589,KHI,KHI,2021-01-30 07:46:21,2021-01-30 20:22:28,Gulf Air,Air-Bus,On-time
3590,ISB,GIL,2021-01-22 06:00:26,2021-01-22 10:17:31,Air France,Air-Bus,On-time
3596,LHE,MUX,2021-01-29 22:39:14,2021-01-30 08:50:51,American Airlines,Air-Bus,On-time
3597,GRT,KHI,2020-12-07 01:15:42,2020-12-07 15:36:07,Gulf Air,Air-Bus,On-time
3598,PEW,ISB,2021-01-03 23:18:39,2021-01-04 15:21:48,Air China,Air-Bus,On-time
3599,ISB,ISB,2020-12-21 03:59:34,2020-12-21 18:25:32,Turkish Airlines,Air-Bus,On-time
36,BHV,ISB,2021-01-02 18:45:09,2021-01-02 23:54:46,Thai Airways,Air-Bus,On-time
360,LHE,MUX,2021-01-22 19:33:54,2021-01-23 08:41:49,Virgin Austrailia,Air-Bus,On-time
3602,KHI,BHV,2020-12-28 22:29:52,2020-12-29 01:12:10,Pia,Air-Bus,On-time
3603,UET,GRT,2020-12-07 03:42:20,2020-12-08 02:44:16,Singapore Airlines,Air-Bus,On-time
3604,UET,ISB,2020-12-11 17:54:28,2020-12-11 23:29:46,Turkish Airlines,Air-Bus,On-time
3606,LHE,KHI,2021-01-17 05:06:10,2021-01-17 19:08:13,Pia,Air-Bus,On-time
3608,GIL,PEW,2020-12-29 06:43:42,2020-12-30 06:13:50,IndiGo,Air-Bus,On-time
3609,UET,BHV,2021-01-10 23:47:29,2021-01-11 21:29:42,Fly Dubai,Air-Bus,On-time
361,GRT,PEW,2020-12-11 18:50:01,2020-12-12 01:55:41,Qatar Airways,Air-Bus,On-time
3611,GIL,LHE,2021-01-07 05:56:02,2021-01-07 23:12:26,Emirates,Air-Bus,On-time
3612,LHE,KHI,2021-01-02 07:25:12,2021-01-03 06:21:03,Gulf Air,Air-Bus,On-time
3613,LHE,LHE,2020-12-15 06:47:02,2020-12-15 13:06:57,IndiGo,Air-Bus,On-time
3615,GIL,LHE,2020-12-11 01:54:20,2020-12-11 14:49:19,Etihad Airways,Air-Bus,On-time
3616,GWD,PEW,2020-12-17 18:13:22,2020-12-17 23:39:41,EVA Air,Air-Bus,On-time
3619,PEW,KHI,2021-01-04 00:35:02,2021-01-04 05:17:20,Turkish Airlines,Air-Bus,On-time
3620,GWD,BHV,2020-12-16 06:56:44,2020-12-17 01:33:05,Thai Airways,Air-Bus,On-time
3621,GRT,PEW,2021-01-13 23:31:21,2021-01-14 02:11:46,Etihad Airways,Air-Bus,On-time
3622,KHI,BHV,2021-01-25 11:16:01,2021-01-26 07:47:06,Air Blue,Air-Bus,On-time
3623,GWD,KHI,2020-11-30 03:46:06,2020-12-01 00:22:36,United Airlines,Air-Bus,On-time
3624,GRT,GRT,2021-01-26 02:35:38,2021-01-26 19:35:51,Serene Airways,Air-Bus,On-time
3626,BHV,BHV,2020-12-19 06:08:26,2020-12-20 04:19:43,Gulf Air,Air-Bus,On-time
3627,LHE,PEW,2021-01-30 00:25:37,2021-01-30 18:42:17,Virgin Austrailia,Air-Bus,On-time
3628,GRT,KHI,2021-01-29 02:29:18,2021-01-29 21:00:56,Qatar Airways,Air-Bus,On-time
363,BHV,ISB,2021-01-09 14:46:10,2021-01-09 20:06:06,Virgin Austrailia,Air-Bus,On-time
3630,UET,BHV,2020-12-28 04:23:01,2020-12-29 04:03:14,Singapore Airlines,Air-Bus,On-time
3633,LHE,KHI,2021-01-30 05:51:59,2021-01-30 13:44:21,IndiGo,Air-Bus,On-time
3634,ISB,ISB,2020-12-28 08:00:21,2020-12-28 22:28:37,Emirates,Air-Bus,On-time
3635,BHV,GRT,2020-12-19 12:11:22,2020-12-20 09:25:51,Serene Airways,Air-Bus,On-time
3636,GIL,MUX,2021-01-05 20:48:25,2021-01-06 08:17:56,Pia,Air-Bus,On-time
3637,GWD,KHI,2021-01-27 02:44:11,2021-01-27 19:35:22,Emirates,Air-Bus,On-time
3638,GWD,LHE,2021-01-28 16:50:07,2021-01-29 14:01:52,Serene Airways,Air-Bus,On-time
3639,MUX,KHI,2020-12-20 15:21:00,2020-12-21 05:03:46,Air Blue,Air-Bus,On-time
3642,GWD,GRT,2021-01-26 05:02:39,2021-01-26 09:31:23,United Airlines,Air-Bus,On-time
3644,LHE,PEW,2021-01-07 13:26:14,2021-01-08 05:42:46,EVA Air,Air-Bus,On-time
3645,LHE,GWD,2020-12-22 23:54:18,2020-12-23 18:16:54,Serene Airways,Air-Bus,On-time
3647,LHE,GRT,2020-12-28 18:41:33,2020-12-28 22:27:54,American Airlines,Air-Bus,On-time
3649,ISB,BHV,2020-12-08 19:33:12,2020-12-09 03:20:17,Qatar Airways,Air-Bus,On-time
3650,GIL,GIL,2021-01-16 20:02:23,2021-01-16 23:47:20,Air China,Air-Bus,On-time
3651,PEW,LHE,2021-01-07 19:26:34,2021-01-08 05:46:52,Thai Airways,Air-Bus,On-time
3652,GRT,UET,2021-01-20 18:19:51,2021-01-21 08:48:20,Air China,Air-Bus,On-time
3659,ISB,GRT,2020-12-24 00:05:32,2020-12-24 02:19:53,British Airways,Air-Bus,On-time
3660,MUX,LHE,2021-01-24 03:52:56,2021-01-25 02:21:30,Air France,Air-Bus,On-time
3661,ISB,GIL,2020-12-16 14:08:45,2020-12-16 22:50:15,British Airways,Air-Bus,On-time
3662,UET,ISB,2021-01-12 07:37:50,2021-01-13 07:34:44,Serene Airways,Air-Bus,On-time
3664,GWD,MUX,2021-01-30 03:20:27,2021-01-30 06:42:53,American Airlines,Air-Bus,On-time
3665,MUX,KHI,2021-01-03 09:02:21,2021-01-03 14:38:20,Virgin Austrailia,Air-Bus,On-time
367,PEW,LHE,2021-01-19 11:05:23,2021-01-20 08:49:49,British Airways,Air-Bus,On-time
3670,GRT,PEW,2021-01-02 22:04:38,2021-01-03 21:49:28,Qatar Airways,Air-Bus,On-time
3673,ISB,GIL,2020-12-31 04:49:25,2020-12-31 15:57:54,United Airlines,Air-Bus,On-time
3676,KHI,ISB,2020-12-03 04:00:30,2020-12-04 00:34:45,Pia,Air-Bus,On-time
3677,GIL,BHV,2021-01-10 16:52:45,2021-01-10 19:05:47,Etihad Airways,Air-Bus,On-time
3679,GIL,PEW,2020-12-17 11:17:05,2020-12-17 14:43:54,Air Canada,Air-Bus,On-time
3682,KHI,UET,2020-12-02 13:36:37,2020-12-03 05:28:51,Gulf Air,Air-Bus,On-time
3689,BHV,GWD,2020-12-25 14:53:43,2020-12-26 12:04:59,Pia,Air-Bus,On-time
369,BHV,GRT,2020-12-06 01:56:10,2020-12-06 19:43:28,Etihad Airways,Air-Bus,On-time
3690,KHI,GIL,2021-01-20 01:29:26,2021-01-20 17:29:42,IndiGo,Air-Bus,On-time
3693,BHV,GWD,2020-12-22 12:21:50,2020-12-23 04:24:46,British Airways,Air-Bus,On-time
3695,KHI,BHV,2021-01-08 21:42:56,2021-01-09 00:05:47,Air France,Air-Bus,On-time
3696,MUX,UET,2021-01-20 22:32:26,2021-01-21 09:20:37,Etihad Airways,Air-Bus,On-time
3698,PEW,PEW,2020-12-10 22:33:55,2020-12-11 04:26:00,United Airlines,Air-Bus,On-time
3700,BHV,GRT,2021-01-15 12:36:09,2021-01-16 08:56:48,Serene Airways,Air-Bus,On-time
3701,ISB,GWD,2020-12-01 07:17:32,2020-12-02 05:46:30,Thai Airways,Air-Bus,On-time
3704,MUX,ISB,2020-12-16 12:30:15,2020-12-17 07:16:43,Air Blue,Air-Bus,On-time
3705,LHE,GIL,2021-01-12 17:41:54,2021-01-12 22:27:57,IndiGo,Air-Bus,On-time
3707,UET,KHI,2020-12-25 01:08:49,2020-12-25 20:36:41,Qatar Airways,Air-Bus,On-time
3708,LHE,UET,2020-12-01 17:18:43,2020-12-02 11:50:04,Pia,Air-Bus,On-time
371,BHV,KHI,2020-12-10 19:54:30,2020-12-11 11:03:42,Virgin Austrailia,Air-Bus,On-time
3714,UET,KHI,2020-12-15 12:12:19,2020-12-15 22:20:19,Thai Airways,Air-Bus,On-time
3717,MUX,MUX,2020-12-23 13:07:31,2020-12-24 05:27:38,United Airlines,Air-Bus,On-time
3718,ISB,GWD,2020-12-30 04:51:20,2020-12-30 17:12:46,Air Canada,Air-Bus,On-time
3720,UET,MUX,2021-01-04 14:20:19,2021-01-05 05:21:16,American Airlines,Air-Bus,On-time
3721,GIL,UET,2021-01-27 14:21:48,2021-01-28 11:30:20,Virgin Austrailia,Air-Bus,On-time
3723,PEW,GWD,2021-01-23 23:28:33,2021-01-24 02:49:01,Thai Airways,Air-Bus,On-time
3726,LHE,MUX,2020-12-17 15:54:04,2020-12-18 06:50:29,Air France,Air-Bus,On-time
3728,MUX,ISB,2020-12-19 05:40:06,2020-12-19 09:00:01,Gulf Air,Air-Bus,On-time
373,MUX,GRT,2021-01-14 06:37:07,2021-01-15 00:19:08,Air Canada,Air-Bus,On-time
3730,KHI,UET,2020-12-28 07:09:45,2020-12-28 16:38:20,IndiGo,Air-Bus,On-time
3731,MUX,LHE,2021-01-11 14:04:01,2021-01-11 18:47:17,Air Blue,Air-Bus,On-time
3732,PEW,BHV,2021-01-10 07:42:23,2021-01-10 12:32:16,Gulf Air,Air-Bus,On-time
3733,MUX,BHV,2020-12-11 20:02:48,2020-12-11 23:39:47,United Airlines,Air-Bus,On-time
3734,KHI,ISB,2021-01-24 23:48:16,2021-01-25 04:58:30,Air France,Air-Bus,On-time
3736,ISB,PEW,2021-01-25 02:11:21,2021-01-25 11:10:56,Emirates,Air-Bus,On-time
3737,MUX,KHI,2020-12-03 02:52:18,2020-12-03 23:41:37,Singapore Airlines,Air-Bus,On-time
3738,GWD,MUX,2021-01-04 03:39:04,2021-01-04 11:47:32,Air Canada,Air-Bus,On-time
3739,MUX,KHI,2020-12-31 10:43:56,2020-12-31 13:58:26,Fly Dubai,Air-Bus,On-time
3740,LHE,KHI,2020-12-24 11:33:57,2020-12-25 11:05:34,United Airlines,Air-Bus,On-time
3741,PEW,PEW,2020-12-14 02:38:23,2020-12-14 18:09:58,United Airlines,Air-Bus,On-time
3742,UET,PEW,2020-12-26 17:56:56,2020-12-26 20:41:38,Air France,Air-Bus,On-time
3745,GWD,ISB,2020-12-07 02:06:07,2020-12-07 22:59:56,IndiGo,Air-Bus,On-time
3747,MUX,LHE,2021-01-10 10:40:36,2021-01-11 03:36:56,Air China,Air-Bus,On-time
3749,PEW,LHE,2020-12-04 07:18:53,2020-12-04 23:10:15,Thai Airways,Air-Bus,On-time
375,KHI,LHE,2021-01-20 00:08:20,2021-01-20 12:12:59,Turkish Airlines,Air-Bus,On-time
3750,KHI,BHV,2021-01-07 19:57:31,2021-01-08 08:31:32,Thai Airways,Air-Bus,On-time
3751,MUX,GWD,2021-01-06 11:16:08,2021-01-06 18:41:51,Fly Dubai,Air-Bus,On-time
3752,GIL,ISB,2020-12-08 04:23:07,2020-12-09 00:41:27,Pia,Air-Bus,On-time
3753,KHI,MUX,2021-01-21 08:05:46,2021-01-22 00:16:41,British Airways,Air-Bus,On-time
3754,KHI,MUX,2021-01-02 07:48:23,2021-01-03 07:02:48,EVA Air,Air-Bus,On-time
3755,UET,UET,2020-12-10 17:49:14,2020-12-10 21:15:51,American Airlines,Air-Bus,On-time
3757,GRT,LHE,2020-12-25 22:30:02,2020-12-26 11:03:38,Virgin Austrailia,Air-Bus,On-time
376,ISB,UET,2021-01-16 21:07:54,2021-01-17 13:20:48,EVA Air,Air-Bus,On-time
3760,GWD,ISB,2020-12-12 23:59:07,2020-12-13 08:49:12,British Airways,Air-Bus,On-time
3761,UET,ISB,2020-12-03 10:18:49,2020-12-03 19:21:47,American Airlines,Air-Bus,On-time
3764,ISB,GRT,2021-01-01 08:55:39,2021-01-01 22:12:36,Air Canada,Air-Bus,On-time
3765,GIL,PEW,2020-12-21 17:54:22,2020-12-22 16:26:25,Emirates,Air-Bus,On-time
3766,ISB,PEW,2020-12-15 02:14:33,2020-12-15 07:23:19,Turkish Airlines,Air-Bus,On-time
3767,KHI,GWD,2021-01-28 03:01:15,2021-01-28 12:33:38,Fly Dubai,Air-Bus,On-time
3768,GRT,LHE,2021-01-12 11:57:25,2021-01-12 22:02:18,Thai Airways,Air-Bus,On-time
377,BHV,KHI,2021-01-05 20:38:05,2021-01-06 03:34:57,United Airlines,Air-Bus,On-time
3770,LHE,ISB,2020-12-10 00:39:02,2020-12-10 10:57:29,Fly Dubai,Air-Bus,On-time
3772,PEW,ISB,2020-12-10 12:32:08,2020-12-11 10:55:07,Turkish Airlines,Air-Bus,On-time
3773,UET,MUX,2021-01-02 09:13:04,2021-01-03 00:30:04,Singapore Airlines,Air-Bus,On-time
3774,GRT,UET,2021-01-09 16:44:40,2021-01-10 14:49:39,IndiGo,Air-Bus,On-time
3775,BHV,LHE,2021-01-03 23:26:15,2021-01-04 18:43:17,Serene Airways,Air-Bus,On-time
3776,KHI,KHI,2020-12-06 20:59:22,2020-12-07 16:34:03,Virgin Austrailia,Air-Bus,On-time
3778,GWD,GWD,2021-01-07 01:06:48,2021-01-08 00:13:11,Gulf Air,Air-Bus,On-time
3781,MUX,BHV,2020-12-08 20:12:45,2020-12-09 14:38:49,EVA Air,Air-Bus,On-time
3784,MUX,KHI,2021-01-08 10:53:08,2021-01-09 08:38:33,Pia,Air-Bus,On-time
3785,UET,UET,2021-01-05 13:12:44,2021-01-05 21:26:12,Qatar Airways,Air-Bus,On-time
3788,ISB,BHV,2020-12-03 15:24:30,2020-12-04 06:20:47,Virgin Austrailia,Air-Bus,On-time
3789,MUX,ISB,2021-01-17 06:03:03,2021-01-18 00:41:28,Gulf Air,Air-Bus,On-time
379,GIL,BHV,2021-01-11 07:10:06,2021-01-11 22:07:19,Air France,Air-Bus,On-time
3790,GWD,KHI,2020-12-31 17:30:37,2021-01-01 15:00:07,American Airlines,Air-Bus,On-time
3791,MUX,KHI,2021-01-03 14:36:28,2021-01-04 03:01:08,Etihad Airways,Air-Bus,On-time
3797,LHE,ISB,2021-01-08 04:42:20,2021-01-08 14:12:50,British Airways,Air-Bus,On-time
3798,GIL,GIL,2020-12-14 01:05:28,2020-12-14 15:57:13,Emirates,Air-Bus,On-time
3799,PEW,PEW,2021-01-29 19:42:19,2021-01-30 10:34:07,Air Blue,Air-Bus,On-time
38,LHE,MUX,2020-12-12 19:11:04,2020-12-12 22:13:51,Qatar Airways,Air-Bus,On-time
380,UET,MUX,2020-12-28 13:37:29,2020-12-28 15:53:22,British Airways,Air-Bus,On-time
3800,GIL,LHE,2021-01-25 00:55:48,2021-01-25 03:41:43,EVA Air,Air-Bus,On-time
3802,GIL,MUX,2021-01-29 11:58:46,2021-01-30 03:01:23,Fly Dubai,Air-Bus,On-time
3803,GIL,KHI,2020-12-05 23:08:31,2020-12-06 09:19:06,Emirates,Air-Bus,On-time
3806,MUX,UET,2021-01-09 19:45:31,2021-01-10 00:12:59,IndiGo,Air-Bus,On-time
3807,GIL,GWD,2020-12-04 23:52:14,2020-12-05 23:14:41,Air China,Air-Bus,On-time
3811,GIL,GRT,2020-12-29 02:43:26,2020-12-29 10:41:35,United Airlines,Air-Bus,On-time
3812,GWD,KHI,2020-12-18 11:09:18,2020-12-19 10:44:42,IndiGo,Air-Bus,On-time
3813,GIL,BHV,2021-01-02 23:17:46,2021-01-03 08:50:56,Fly Dubai,Air-Bus,On-time
3814,UET,UET,2020-12-03 03:47:45,2020-12-03 17:50:36,Air Canada,Air-Bus,On-time
3816,BHV,UET,2020-12-17 01:30:53,2020-12-17 19:59:11,American Airlines,Air-Bus,On-time
3818,ISB,ISB,2020-12-13 02:56:30,2020-12-13 20:22:58,Virgin Austrailia,Air-Bus,On-time
382,MUX,UET,2020-12-14 16:13:04,2020-12-14 22:05:11,Virgin Austrailia,Air-Bus,On-time
3824,GIL,GIL,2021-01-02 11:06:53,2021-01-02 22:20:30,Serene Airways,Air-Bus,On-time
3825,MUX,ISB,2020-12-23 13:33:06,2020-12-24 02:03:01,Serene Airways,Air-Bus,On-time
3826,UET,BHV,2021-01-10 03:29:29,2021-01-11 01:15:48,Qatar Airways,Air-Bus,On-time
3828,KHI,GWD,2020-12-28 05:13:35,2020-12-28 21:47:19,Qatar Airways,Air-Bus,On-time
3829,GIL,LHE,2021-01-23 06:41:31,2021-01-23 11:43:35,Qatar Airways,Air-Bus,On-time
383,LHE,MUX,2021-01-08 19:49:28,2021-01-09 19:49:13,Air China,Air-Bus,On-time
3831,KHI,GIL,2021-01-12 15:23:28,2021-01-13 12:16:36,Gulf Air,Air-Bus,On-time
3837,MUX,GIL,2020-12-22 02:00:00,2020-12-22 17:45:17,EVA Air,Air-Bus,On-time
3845,ISB,GIL,2020-12-24 10:56:30,2020-12-24 20:01:08,Air France,Air-Bus,On-time
3847,LHE,PEW,2021-01-01 12:47:34,2021-01-01 19:52:34,EVA Air,Air-Bus,On-time
3848,LHE,KHI,2021-01-12 22:28:08,2021-01-13 11:51:51,Air Canada,Air-Bus,On-time
385,LHE,GRT,2020-12-01 03:30:25,2020-12-02 01:42:29,Qatar Airways,Air-Bus,On-time
3851,GWD,ISB,2021-01-03 01:51:03,2021-01-03 20:18:55,Turkish Airlines,Air-Bus,On-time
3854,LHE,UET,2020-12-19 04:17:36,2020-12-19 08:39:48,Emirates,Air-Bus,On-time
3855,ISB,GWD,2021-01-28 14:20:57,2021-01-28 22:30:44,Air France,Air-Bus,On-time
3857,ISB,MUX,2021-01-06 03:49:14,2021-01-06 14:32:43,Air Blue,Air-Bus,On-time
386,KHI,GWD,2020-12-26 14:31:05,2020-12-27 03:34:55,Etihad Airways,Air-Bus,On-time
3860,MUX,ISB,2020-12-27 17:02:23,2020-12-28 09:09:40,Fly Dubai,Air-Bus,On-time
3861,KHI,PEW,2020-12-25 05:27:07,2020-12-26 05:10:34,Gulf Air,Air-Bus,On-time
3862,BHV,BHV,2020-12-29 18:55:26,2020-12-30 06:05:26,United Airlines,Air-Bus,On-time
3863,UET,ISB,2020-12-05 13:56:58,2020-12-06 09:51:51,Air France,Air-Bus,On-time
3870,UET,MUX,2021-01-03 09:45:18,2021-01-03 12:51:38,American Airlines,Air-Bus,On-time
3873,PEW,MUX,2021-01-11 09:03:54,2021-01-12 05:00:49,Pia,Air-Bus,On-time
3876,LHE,ISB,2020-12-16 07:41:39,2020-12-17 03:35:51,Air China,Air-Bus,On-time
3878,BHV,GIL,2020-12-08 09:16:34,2020-12-08 21:20:23,Serene Airways,Air-Bus,On-time
3879,GRT,ISB,2020-12-16 01:53:35,2020-12-16 17:18:59,EVA Air,Air-Bus,On-time
388,ISB,GRT,2021-01-28 14:03:38,2021-01-29 05:30:23,Air France,Air-Bus,On-time
3882,MUX,BHV,2021-01-28 14:15:03,2021-01-29 07:45:47,Turkish Airlines,Air-Bus,On-time
3883,PEW,GWD,2020-12-05 03:01:42,2020-12-05 15:48:08,American Airlines,Air-Bus,On-time
3884,GWD,GIL,2020-12-28 11:20:12,2020-12-28 17:59:56,Air Canada,Air-Bus,On-time
